arrival,duration,soc,diff_soc,diff_energymeter
26340.0,13.0,0.53,0.17,15616.0
21240.0,75.0,0.31,0.68,47572.0
47520.0,37.0,0.47,0.33,27004.0
81960.0,30.0,0.32,0.34,24860.0
33780.0,30.0,0.43,0.3,23688.0
48420.0,23.0,0.21,0.31,18620.0
51420.0,20.0,0.64,0.18,16244.0
60240.0,19.0,0.56,0.12,10348.0
30300.0,14.0,0.02,0.42,9220.0
68400.0,1.0,0.08,0.0,500.0
74700.0,34.0,0.44,0.47,40416.0
33180.0,33.0,0.05,0.74,68872.0
64500.0,25.0,0.2,0.6,45200.0
36540.0,56.0,0.2,0.7,58032.0
55440.0,46.0,0.4,0.57,47264.0
62160.0,34.0,0.18,0.53,40864.0
45780.0,29.0,0.18,0.67,51240.0
27480.0,27.0,0.23,0.43,35880.0
21720.0,27.0,0.32,0.48,39056.0
30840.0,24.0,0.37,0.5,43336.0
49680.0,24.0,0.27,0.58,21184.0
84300.0,23.0,0.18,0.23,18440.0
20640.0,17.0,0.32,0.09,11360.0
71100.0,15.0,0.26,0.27,10632.0
61080.0,12.0,0.23,0.23,20600.0
24600.0,10.0,0.44,0.15,12456.0
52140.0,67.0,0.44,0.43,33064.0
48180.0,56.0,0.14,0.77,60920.0
36660.0,43.0,0.07,0.82,73968.0
29100.0,37.0,0.59,0.3,14312.0
42000.0,33.0,0.38,0.51,59688.0
76440.0,23.0,0.41,0.26,15304.0
59040.0,23.0,0.19,0.26,18632.0
56820.0,18.0,0.09,0.26,21896.0
14880.0,15.0,0.48,0.13,13696.0
39780.0,11.0,0.66,0.06,3528.0
25380.0,9.0,0.39,0.1,6976.0
71160.0,7.0,0.29,0.09,6152.0
38280.0,6.0,0.31,0.17,6776.0
76920.0,71.0,0.77,0.23,14672.0
52980.0,33.0,0.35,0.44,37670.0
60600.0,37.0,0.53,0.37,31932.0
28380.0,33.0,0.49,0.26,16066.0
57840.0,21.0,0.3,0.35,25964.0
40920.0,4.0,0.55,0.02,2722.0
28260.0,1.0,0.48,0.01,360.0
46920.0,0.0,0.3,0.0,0.0
12060.0,30.0,0.04,0.71,57764.0
36300.0,29.0,0.09,0.64,20264.0
56580.0,27.0,0.16,0.54,40782.0
41100.0,11.0,0.81,0.05,4370.0
55200.0,11.0,0.65,0.2,4114.0
54840.0,39.0,0.29,0.7,40240.0
54660.0,38.0,0.62,0.32,19736.0
40080.0,24.0,0.22,0.5,43280.0
67800.0,22.0,0.24,0.54,45064.0
71040.0,19.0,0.21,0.5,46448.0
47460.0,14.0,0.41,0.4,35020.0
75720.0,6.0,0.51,0.06,5264.0
47760.0,50.0,0.23,0.77,38324.0
44760.0,45.0,0.27,0.61,50748.0
